Payment Method,Fuel Type,Charge Type,Allowance,Cap Period,Start Date,End Date,Cost Value
All,Electricity - Single-Rate ,SC,WHD,January 2025 - March 2025,2025-01-01,2025-03-01,10.909265371253545
All,Electricity - Single-Rate ,UR,WHD (unit rate),January 2025 - March 2025,2025-01-01,2025-03-01,0.0
All,Electricity - Single-Rate ,UR,AAHEDC,January 2025 - March 2025,2025-01-01,2025-03-01,0.42145
All,Electricity - Single-Rate ,UR,NCC,January 2025 - March 2025,2025-01-01,2025-03-01,0.0
All,Electricity - Single-Rate ,UR,nRAB,January 2025 - March 2025,2025-01-01,2025-03-01,0.0
All,Electricity - Multi-Register ,UR,RO,January 2025 - March 2025,2025-01-01,2025-03-01,31.78243
All,Electricity - Multi-Register ,UR,FiT,January 2025 - March 2025,2025-01-01,2025-03-01,7.31667345560668
All,Electricity - Multi-Register ,UR,ECO,January 2025 - March 2025,2025-01-01,2025-03-01,8.68652948434914
All,Electricity - Multi-Register ,SC,WHD,January 2025 - March 2025,2025-01-01,2025-03-01,10.909265371253545
All,Electricity - Multi-Register ,UR,WHD (unit rate),January 2025 - March 2025,2025-01-01,2025-03-01,0.0
All,Electricity - Multi-Register ,UR,AAHEDC,January 2025 - March 2025,2025-01-01,2025-03-01,0.42145
All,Electricity - Multi-Register ,UR,NCC,January 2025 - March 2025,2025-01-01,2025-03-01,0.0
All,Electricity - Multi-Register ,UR,nRAB,January 2025 - March 2025,2025-01-01,2025-03-01,0.0
All,Gas,UR,ECO,January 2025 - March 2025,2025-01-01,2025-03-01,2.989702112626663
All,Gas,SC,WHD,January 2025 - March 2025,2025-01-01,2025-03-01,10.909265371253545
All,Gas,UR,WHD (unit rate),January 2025 - March 2025,2025-01-01,2025-03-01,0.0
All,Gas,SC,GGL,January 2025 - March 2025,2025-01-01,2025-03-01,0.38325
All,Electricity - Single-Rate ,UR,RO,April 2025 - June 2025,2025-04-01,2025-06-01,33.06058
All,Electricity - Single-Rate ,UR,FiT,April 2025 - June 2025,2025-04-01,2025-06-01,7.532858091399762
All,Electricity - Single-Rate ,UR,ECO,April 2025 - June 2025,2025-04-01,2025-06-01,8.737701246393105
All,Electricity - Single-Rate ,SC,WHD,April 2025 - June 2025,2025-04-01,2025-06-01,10.979819636605352
All,Electricity - Single-Rate ,UR,WHD (unit rate),April 2025 - June 2025,2025-04-01,2025-06-01,0.0
All,Electricity - Single-Rate ,UR,AAHEDC,April 2025 - June 2025,2025-04-01,2025-06-01,0.4355925993650476
All,Electricity - Single-Rate ,UR,NCC,April 2025 - June 2025,2025-04-01,2025-06-01,0.927551988981379
All,Electricity - Single-Rate ,UR,nRAB,April 2025 - June 2025,2025-04-01,2025-06-01,0.0
All,Electricity - Multi-Register ,UR,RO,April 2025 - June 2025,2025-04-01,2025-06-01,33.06058
All,Electricity - Multi-Register ,UR,FiT,April 2025 - June 2025,2025-04-01,2025-06-01,7.532858091399762
All,Electricity - Multi-Register ,UR,ECO,April 2025 - June 2025,2025-04-01,2025-06-01,8.737701246393105
All,Electricity - Multi-Register ,SC,WHD,April 2025 - June 2025,2025-04-01,2025-06-01,10.979819636605352
All,Electricity - Multi-Register ,UR,WHD (unit rate),April 2025 - June 2025,2025-04-01,2025-06-01,0.0
All,Electricity - Multi-Register ,UR,AAHEDC,April 2025 - June 2025,2025-04-01,2025-06-01,0.4355925993650476
All,Electricity - Multi-Register ,UR,NCC,April 2025 - June 2025,2025-04-01,2025-06-01,0.927551988981379
All,Electricity - Multi-Register ,UR,nRAB,April 2025 - June 2025,2025-04-01,2025-06-01,0.0
All,Gas,UR,ECO,April 2025 - June 2025,2025-04-01,2025-06-01,3.0884931685270325
All,Gas,SC,WHD,April 2025 - June 2025,2025-04-01,2025-06-01,10.979819636605352
All,Gas,UR,WHD (unit rate),April 2025 - June 2025,2025-04-01,2025-06-01,0.0
All,Gas,SC,GGL,April 2025 - June 2025,2025-04-01,2025-06-01,2.99665
All,Electricity - Single-Rate ,UR,RO,July 2025 - September 2025,2025-07-01,2025-09-01,33.06058
All,Electricity - Single-Rate ,UR,FiT,July 2025 - September 2025,2025-07-01,2025-09-01,7.532858091399762
All,Electricity - Single-Rate ,UR,ECO,July 2025 - September 2025,2025-07-01,2025-09-01,8.737701246393105
All,Electricity - Single-Rate ,SC,WHD,July 2025 - September 2025,2025-07-01,2025-09-01,10.979819636605352
All,Electricity - Single-Rate ,UR,WHD (unit rate),July 2025 - September 2025,2025-07-01,2025-09-01,0.0
All,Electricity - Single-Rate ,UR,AAHEDC,July 2025 - September 2025,2025-07-01,2025-09-01,0.4355925993650476
All,Electricity - Single-Rate ,UR,NCC,July 2025 - September 2025,2025-07-01,2025-09-01,0.927551988981379
All,Electricity - Single-Rate ,UR,nRAB,July 2025 - September 2025,2025-07-01,2025-09-01,0.0
All,Electricity - Multi-Register ,UR,RO,July 2025 - September 2025,2025-07-01,2025-09-01,33.06058
All,Electricity - Multi-Register ,UR,FiT,July 2025 - September 2025,2025-07-01,2025-09-01,7.532858091399762
All,Electricity - Multi-Register ,UR,ECO,July 2025 - September 2025,2025-07-01,2025-09-01,8.737701246393105
All,Electricity - Multi-Register ,SC,WHD,July 2025 - September 2025,2025-07-01,2025-09-01,10.979819636605352
All,Electricity - Multi-Register ,UR,WHD (unit rate),July 2025 - September 2025,2025-07-01,2025-09-01,0.0
All,Electricity - Multi-Register ,UR,AAHEDC,July 2025 - September 2025,2025-07-01,2025-09-01,0.4355925993650476
All,Electricity - Multi-Register ,UR,NCC,July 2025 - September 2025,2025-07-01,2025-09-01,0.927551988981379
All,Electricity - Multi-Register ,UR,nRAB,July 2025 - September 2025,2025-07-01,2025-09-01,0.0
All,Gas,UR,ECO,July 2025 - September 2025,2025-07-01,2025-09-01,3.0884931685270325
All,Gas,SC,WHD,July 2025 - September 2025,2025-07-01,2025-09-01,10.979819636605352
All,Gas,UR,WHD (unit rate),July 2025 - September 2025,2025-07-01,2025-09-01,0.0
All,Gas,SC,GGL,July 2025 - September 2025,2025-07-01,2025-09-01,2.99665
All,Electricity - Single-Rate ,UR,RO,October 2025 - December 2025,2025-10-01,2025-12-01,33.06058
All,Electricity - Single-Rate ,UR,FiT,October 2025 - December 2025,2025-10-01,2025-12-01,7.141389693677252
All,Electricity - Single-Rate ,UR,ECO,October 2025 - December 2025,2025-10-01,2025-12-01,8.905061303840878
All,Electricity - Single-Rate ,SC,WHD,October 2025 - December 2025,2025-10-01,2025-12-01,19.505362726406553
All,Electricity - Single-Rate ,UR,WHD (unit rate),October 2025 - December 2025,2025-10-01,2025-12-01,0.0
All,Electricity - Single-Rate ,UR,AAHEDC,October 2025 - December 2025,2025-10-01,2025-12-01,0.40984
All,Electricity - Single-Rate ,UR,NCC,October 2025 - December 2025,2025-10-01,2025-12-01,0.9245527805406587
All,Electricity - Single-Rate ,UR,nRAB,October 2025 - December 2025,2025-10-01,2025-12-01,0.0
All,Electricity - Multi-Register ,UR,RO,October 2025 - December 2025,2025-10-01,2025-12-01,33.06058
All,Electricity - Multi-Register ,UR,FiT,October 2025 - December 2025,2025-10-01,2025-12-01,7.141389693677252
All,Electricity - Multi-Register ,UR,ECO,October 2025 - December 2025,2025-10-01,2025-12-01,8.905061303840878
All,Electricity - Multi-Register ,SC,WHD,October 2025 - December 2025,2025-10-01,2025-12-01,19.505362726406553
All,Electricity - Multi-Register ,UR,WHD (unit rate),October 2025 - December 2025,2025-10-01,2025-12-01,0.0
All,Electricity - Multi-Register ,UR,AAHEDC,October 2025 - December 2025,2025-10-01,2025-12-01,0.40984
All,Electricity - Multi-Register ,UR,NCC,October 2025 - December 2025,2025-10-01,2025-12-01,0.9245527805406587
All,Electricity - Multi-Register ,UR,nRAB,October 2025 - December 2025,2025-10-01,2025-12-01,0.0
All,Gas,UR,ECO,October 2025 - December 2025,2025-10-01,2025-12-01,3.147649504906135
All,Gas,SC,WHD,October 2025 - December 2025,2025-10-01,2025-12-01,19.505362726406553
All,Gas,UR,WHD (unit rate),October 2025 - December 2025,2025-10-01,2025-12-01,0.0
All,Gas,SC,GGL,October 2025 - December 2025,2025-10-01,2025-12-01,2.99665
